№; листа,имя файла,Место хранения гербарного листа,Вид,Административное деление,Территориальное деление,Территориальное деление № 2,Экологические условия,Экологические условия,,Почвенные условия,Дата сбора,Кто собрал,N,E
num,image,source,species,region,district,place,,,forest_type,soil_type,collection_date,collectors,latitude,longitude
11788,DSC02833,БСИ,Rh_mucronulatum,приморский край,Партизанский район,окр. с. Новицкое,,,дубняк,скальные выходы,08.07.1973,Урусов В.М.,43.008559,133.258338
11757,DSC02836,БСИ,Rh_mucronulatum,приморский край,о. Путятин,сопка на С-В части острова,,,,сопка,08.08.1981,Клычкова,42.865997,132.447586
11755,DSC02838,БСИ,Rh_mucronulatum,приморский край,о. Путятин,окр. Оз. Гусинного западный берег,,,широколиственный лес,,22.07.1987,Клычкова,42.848903,132.404352
11752,DSC02840,БСИ,Rh_mucronulatum,приморский край,о. Путятин,2-3 км к северу от посёлка,,,широколиственный лес,,22.07.1987,Клычкова,42.894930,132.412172
103610,DSC02841,БСИ,Rh_mucronulatum,приморский край,Шкотовский район,с. Анисимовка верховье ключа Берёзовый,,,,,25.06.2012,опр. Баркалов,43.217731,132.765686
103664,DSC02842,БСИ,Rh_mucronulatum,приморский край,Шкотовский район,с. Анисимовка верховье ключа Берёзовый,,,,,25.06.2012,опр. Баркалов,43.217731,132.765686
11783,DSC02844,БСИ,Rh_mucronulatum,приморский край,Партизанский район,окр. с. Новицкое,,,дубняк,скальные выходы,08.07.1973,Урусов В.М.,43.007334,133.229279
103820,DSC02845,БСИ,Rh_mucronulatum,приморский край,Чугуевский район,скалы по ручью,,,,скалистый берег реки,20.09.2012,,43.670874,134.197237
108644,DSC02846,БСИ,Rh_mucronulatum,приморский край,Чугуевский район,гора Изюбриная,,,,скальные выходы,07.07.1988,Кудрявцева,44.245300,134.208070
108647,DSC02847,БСИ,Rh_mucronulatum,приморский край,Чугуевский район,переход от горы Облачной к горе Победа,,,смешанный лес,,13.07.1986,Кудрявцева,43.649069,134.171805
103863,DSC02848,БСИ,Rh_mucronulatum,приморский край,Чугуевский район,скалы по ручью,,,,,20.09.2012,,43.607341,134.263271
19983,DSC02850,БСИ,Rh_mucronulatum,приморский край,Лазовский район,с. Киевка,,,,склон горы,19.07.1977,,42.909529,133.714826
11724,DSC02851,БСИ,Rh_mucronulatum,приморский край,Анучинский район,скалы у дороги между селами Староварваровкой и Виноградовкой,,,смешанный лес,скальные выходы,13.06.1979,Недолужко,43.818743,132.917965
11735,DSC02852,БСИ,Rh_mucronulatum,приморский край,Анучинский район,Староварваровка,,,смешанный лес,,19.09.1973,Урусов В.М.,43.871136, 132.931906
11732,DSC02854,БСИ,Rh_mucronulatum,приморский край,Анучинский район,перевал от анучинского района в сучанский район,,,,каменистый склон,02.08.1971,Зорикова,43.594948,133.191772
12889,DSC02859,БСИ,Rh_mucronulatum,приморский край,Ханкайский район,с. Ильинка,,,,,15.07.1961,,44.894554,131.926553
11740,DSC02860,БСИ,Rh_mucronulatum,приморский край,Уссурийский район,Супутинский заповедник,,,,,22.09.1967,Селедец,43.572901,132.520307
11741,DSC02866,БСИ,Rh_mucronulatum,приморский край,Хасанский район,бухта к югу от бухты Бойсмана,,,,скалистый берег моря,01.08.1985,Недолужко,42.741750,131.248149
11760,DSC02869,БСИ,Rh_mucronulatum,приморский край,о. Путятин,оз. Гусиное,,,широколиственный лес,,21.06.1981,Клычкова,42.848903,132.404352
12890,DSC02870,БСИ,Rh_mucronulatum,приморский край,Шкотовский район,ст. Кангауз лес на Хуалазе,,,,,27.07.1969,Городилова,43.076740,132.703330
11749,DSC02871,БСИ,Rh_mucronulatum,приморский край,Находкинский район,г. Находка,,,,сопка,07.06.1972,Ковалёва,42.810164,132.829977
108645,DSC02872,БСИ,Rh_mucronulatum,приморский край,Партизанский район,перевал,,,светлохвойный лес,,20.07.1988,Кудрявцева,43.250810,133.269136
130854,DSC02875,БСИ,Rh_mucronulatum,приморский край,Владивосток,мыс Песчанный,,,широколиственный лес,,06.08.1975,Урусов В.М.,"43,181585","131,772692"
130820,DSC02876,БСИ,Rh_mucronulatum,приморский край,Находкинский район,г. Сестра,,,,скальные выходы,05.06.1990,Недолужко,"42,8307","132,994847"
130900,DSC02877,БСИ,Rh_mucronulatum,приморский край,Партизанский район,3 км восточней устья реки Партизанской,,,,скальные выходы,06.06.1990,Недолужко,"42,86072","133,015909"
130937,DSC02878,БСИ,Rh_mucronulatum,приморский край,Партизанский район,сев. Окраиной с. Екатериновка,,,широколиственный лес,скальные выходы,06.06.1990,Недолужко,"42,949623","133,052275"
131144,DSC02881,БСИ,Rh_mucronulatum,приморский край,Шкотовский район,г. Хуалаза,,,,скальные выходы,17.09.1975,Урусов В.М.,"42,994699","132,483518"
