№; листа,имя файла,Место хранения гербарного листа,Вид,Административное деление,Территориальное деление,Территориальное деление № 2,Экологические условия,Экологические условия,,Почвенные условия,Дата сбора,Кто собрал,N,E
num,image,source,species,region,district,place,,,forest_type,soil_type,collection_date,collectors,latitude,longitude
226097,Koms_7_dauricum_11_07_1975,БПИ,Rh_dauricum,Хабаровский  край,комсомольский район,с.Кондон левобережье реки Девятки,,,,берег реки,11.07.1975,Кидеева,"51,2685","136,581944"
226098,Koms_8_dauricum_19_05_1966,БПИ,Rh_dauricum,Хабаровский  край,комсомольский район,"Комсом зап-к. ПиВ.М. Вань, сопка Партизанка",,,,сопка,19.05.1966,Шлотгауэр,"48,801028","134,862944"
226359,Koms_9_mucronulatum_00_00_1961,БПИ,Rh_mucronulatum,Хабаровский  край,Амурский район,Хребет Джаки Унахта-Якбыяна,кедровник родод-брусн.,светлохвойный лес,светлохвойный лес,,,,"50,296806","136,310111"
11828,koval_0_sichotense_03_08_1971,БСИ,Rh_sichotence,приморский край,Кавалеровский район,окр. Кавалерово,,,,обочины/окресности нас.пунктов,03.08.1971,Зорикова,"44,233115","135,040689"
,koval_0_sichotense_22_09_1960,БСИ,Rh_sichotence,приморский край,Кавалеровский район,вершина горы Березовой,березняк,широколиственный лес,березняк,сопка,22.09.1960,Ворошилов,"44,277756","135,173078"
11833,koval_2_sichotense_03_08_1971,БСИ,Rh_sichotence,приморский край,Кавалеровский район,окр. Кавалерово,,,,обочины/окресности нас.пунктов,03.08.1971,Зорикова,"44,233115","135,040689"
226059,KrArm_0_dauricum_22_06_1963,БПИ,Rh_dauricum,приморский край,красноармейский район,бассейн реки Колумбэ,скала,,,каменистый склон,22.06.1963,Шемерова,"45,6215","136,299944"
226328,KrArm_1_mucronulatum_20_08_1980,БПИ,Rh_mucronulatum,приморский край,красноармейский район,п. Дерсу,,,широколиственный лес,обочины/окресности нас.пунктов,20.08.1990,Т. Безделева,"45,76825","135,300833"
226329,KrArm_2_mucronulatum_12_08_1990,БПИ,Rh_mucronulatum,приморский край,красноармейский район,окр п. Дальний Кут скалы по берегу р. Б.Уссур.,,,,скальные выходы,12.08.1990,Т. Безделева,"45,866333","135,260028"
,krasnoarm_0_mucronulatum_29_07_1941,,Rh_mucronulatum,приморский край,красноармейский район,близ с. Сибичи,,,,обочины/окресности нас.пунктов,29.07.1941,Двораковский,"46,062832","135,379313"
11745,lazo_0_mucronulatum_30_06_1976,БСИ,Rh_mucronulatum,приморский край,Лазовский район,с Глазковка,дубняк,широколиственный лес,дубняк,обочины/окресности нас.пунктов,30.06.1976,Урусов В.М.,"43,075236","134,173077"
226324,lazo_0_mucronulatum_30_07_1970,БПИ,Rh_mucronulatum,приморский край,Лазовский район,п. Киевка,крутый юго-западные склоны. Подлесок в дубняке,широколиственный лес,дубняк,склон горы,30.07.1970,В.Зорикова,"42,902056","133,707944"
,lazo_0_sichotense_11_07_1973,ГБС,Rh_sichotence,приморский край,Лазовский район,п. Киевка,береговые скалы,,,скалистый берег моря,11.07.1973,Урусов В.М.,"42,852697","133,681808"
226325,lazo_1_mucronulatum_30_07_1970,БПИ,Rh_mucronulatum,приморский край,Лазовский район,п. Киевка,,,дубняк,склон горы,30.07.1970,В.Зорикова,"42,902056","133,707944"
,lazo_1_sichotense_00_00_1977,,Rh_mucronulatum,приморский край,Лазовский район,с Глазковка,дубняк,широколиственный лес,дубняк,обочины/окресности нас.пунктов,30.06.1976,Урусов В.М.,"43,075236","134,173077"
6184,lazov_0_mucronulatum_16_07_2009,МГУ,Rh_mucronulatum,приморский край,Лазовский район,бухта Заря,дубняк,широколиственный лес,дубняк,,16.07.2009,Дудов С.В.,"43,03459","134,15789"
11733,nadezd_0_mucronulatum_02_10_1967,БПИ,Rh_mucronulatum,приморский край,Надежденский район ,окр. С. Горного ,берег реки,,,берег реки,02.10.1967,Селедец,"43,40969","131,666995"
,nadezd_0_mucronulatum_30_07_1966,БПИ,Rh_mucronulatum,приморский край,Надежденский район ,окр. С. Соловей-Ключ,,,,обочины/окресности нас.пунктов,30.07.1986,Ефремов,"43,396785","132,049623"
12617,nah_0_sichotense_25_09_1965,ГБС,Rh_mucronulatum,приморский край,Находкинский район,бухта Валентин,южный склон,,,склон горы,25.09.1965,Ворошилов,"42,822744","132,988819"
226292,nakh_0_mucronulatum_17_08_1979,БПИ,Rh_mucronulatum,приморский край,Находкинский район,ИБМ Восток ,склон южной экспозиции,,,склон горы,17.08.1979,,"42,892759","132,732064"
,nikolaev_0_dauricum_31_08_1967,ГБС,Rh_dauricum,Хабаровский край,Николаевский район,напротив Николаевска-на-Амуре,береговые скалы,,,скальные выходы,31.08.1967,Плотникова Л. С. ,"53,110631","140,724621"
226186,Nyukzh_0_dauricum_17_07_1989,БПИ,Rh_dauricum,Амурская область,Нюкжинский район, км от п. УСТЬ-Нюкжа,,,,обочины/окресности нас.пунктов,17.07.1989,А.Е. Кожевников,"56,560833","121,592222"
226187,Nyukzh_1_dauricum_17_07_1989,БПИ,Rh_dauricum,Амурская область,Нюкжинский район,"8 км от пос. Усть-Нюкжа, полуостров на правобережье р. Олекма в 2 км. Ниже усть р. Чопкокон",в лиственичнике,широколиственный лес,лиственичник,,17.07.1989,А.Е. Кожевников,"56,541972","121,588083"
326,oblachn_0_mucronulatum_26_06_0000,,Rh_mucronulatum,приморский край,Владивосток,за Золотым Рогом,,смешанный лес,смешанный лес,,25.07.1926,,"43,084558","131,91708"
,obluch_0_dauricum_16_07_1976,ВНИИЛР,Rh_dauricum,ЕАО,Облученский район,Облуч. Район 4км ю-в с. Радде,,,,обочины/окресности нас.пунктов,16.08.1976,Исайкина,"48,604264","130,613802"
226138,Obluch_0_dauricum_31_08_1989,БПИ,Rh_dauricum,ЕАО,Облученский район,Облуч. Район 4км ю-в с. Радде,"цеолитовое месторож., дубняк",широколиственный лес,дубняк,,31.08.1989,Харкевич,"48,580222","130,618861"
226244,oktayb_0_mucronulatum_22_06_1984,БПИ,Rh_mucronulatum,приморский край,Октябрьский район,п. Чернятино ,,,,обочины/окресности нас.пунктов,22.06.1984,Баркалов / А.Е. Кожевников,"43,968806","131,473083"
9321,olg_0_sichotense_09_10_1958,ГБС,Rh_sichotence,приморский край,Ольгинский район,близь Ольги,каменистый берег моря,,,скалистый берег моря,09.10.1958,Ворошилов,"43,728519","135,250782"
11830,olg_1_sichotense_18_06_1971,БСИ,Rh_sichotence,приморский край,Ольгинский район,бухта Ольга,пески у берега моря,,,,18.06.1971,Зорикова,"43,72783","135,235253"
,olg_1_sichotense_21_09_1968,ГБС,Rh_sichotence,приморский край,Ольгинский район,бухта Моряк-рыболов,дубняк на скалах,широколиственный лес,дубняк,скальные выходы,21.09.1968,Хохряков,"43,33758","134,788752"
,partizan_0_mucronulatum_22_09_1967,,Rh_mucronulatum,приморский край,Партизанский район,рядом с с. Молчановка верхнее течение реки Партизановка,,,,обочины/окресности нас.пунктов,22.09.1967,Скворцов,"43,484222","133,35"
11747,partizan_1_mucronulatum_30_09_1989,БСИ,Rh_mucronulatum,приморский край,Находкинский район,г. Сестра,скалы,,,скальные выходы,30.09.1989,Недолужко,"42,830767","132,994297"
11791,partizan_2_mucronulatum_26_06_1976,БСИ,Rh_mucronulatum,приморский край,Партизанский район,г. Чандалаз,скалы с-з экспозиции,,,скальные выходы,26.06.1976,Урусов В.М.,"43,008651","133,004997"
11738,partizan_4_mucronulatum_07_07_1973,БСИ,Rh_mucronulatum,приморский край,Партизанский район,окр с. Новитское,СКАЛА,,,скальные выходы,07.07.1973,Урусов В.М.,"43,046679","133,212776"
11766,partizan_5_mucronulatum_30_09_1989,БСИ,Rh_mucronulatum,приморский край,Находкинский район,г. Сестра,скалы,,,скальные выходы,30.09.1989,Недолужко,"42,830767","132,994297"
,PK_CABZ_2,БСИ,Rh_mucronulatum,приморский край,Тернейский район,Сихоте-Алинский биологический заповедник,вдоль тропы,,,,11.06.2014,Пименова,"45,263889","136,158611"
,PK_CABZ_3,БСИ,Rh_mucronulatum,приморский край,Тернейский район,Сихоте-Алинский биологический заповедник,вдоль тропы,,,,11.06.2014,Пименова,"45,263889","136,158611"
12915,PK_CHY_p_Cinacha_1,ДВФУ,Rh_sichotence,Приморский край,Чугуевский район,река медведка,лиственичное болото,широколиственный лес,лиственичник,берег реки,24.06.1972,В.Верхолат,"43,793694","133,773028"
,PK_CHYG_c_Antonovka_1,БСИ,Rh_mucronulatum,приморский край,чугуевский район,,,,,,,Кокшеева,"44,366222","134,40475"
,PK_CHYG_c_Antonovka_2,БСИ,Rh_mucronulatum,приморский край,чугуевский район,,,,,,,Кокшеева,"44,36625","134,404694"
,PK_CHYG_g_Oblachnaya,БСИ,Rh_mucronulatum,приморский край,чугуевский район,хребет горы Облачной,,,,скальные выходы,16.08.2014,Пименова,"43,694639","134,197639"
,PK_DAL_10,БСИ,Rh_sichotence,Приморский край,Дальнегорский район,окр. города Дальнегорск,скалы,,,скальные выходы,00.00.2014,Кокшеева,"44,523863","135,658633"
,PK_DAL_12,БСИ,Rh_sichotence,Приморский край,Дальнегорский район,окр. города Дальнегорск,скалы,,,скальные выходы,00.00.2014,Кокшеева,"44,523863","135,658634"
,PK_DAL_14,БСИ,Rh_sichotence,Приморский край,Дальнегорский район,окр. города Дальнегорск,скалы,,,скальные выходы,00.00.2014,Кокшеева,"44,523863","135,658635"
,PK_DAL_4,БСИ,Rh_sichotence,Приморский край,Дальнегорский район,окр. города Дальнегорск,скалы,,,скальные выходы,00.00.2014,Кокшеева,"44,523863","135,658636"
,PK_DAL_7,БСИ,Rh_sichotence,Приморский край,Дальнегорский район,окр. города Дальнегорск,скалы,,,скальные выходы,00.00.2014,Кокшеева,"44,523863","135,658637"
,PK_DAL_c_Lidovka_4,БСИ,Rh_sichotence,Приморский край,Дальнегорский район,окр. С. Лидовка,,,,обочины/окресности нас.пунктов,00.00.2014,Кокшеева,"44,418443","135,882142"
,PK_DAL_KAV_4,БСИ,Rh_sichotence,Приморский край,Дальнегорский район,дорога с дальнегорска на кавалерово,,,,обочины/окресности нас.пунктов,00.00.2014,Кокшеева,"44,510843","135,420709"
,PK_DAL_KAV_6,БСИ,Rh_sichotence,Приморский край,Дальнегорский район,дорога с дальнегорска на кавалерово,,,,обочины/окресности нас.пунктов,00.00.2014,Кокшеева,"44,510843","135,42071"
,PK_DAL_KAV_7,БСИ,Rh_sichotence,Приморский край,Дальнегорский район,дорога с дальнегорска на кавалерово,,,,обочины/окресности нас.пунктов,00.00.2014,Кокшеева,"44,510843","135,420711"
12874,PK_DAL_Koreisk_pad'_1,ДВФУ,Rh_sichotence,Приморский край,Дальнегорский район,корейская падь,,,,,19.07.1975,Кононова,"44,67038","135,669621"
12875,PK_DAL_Koreisk_pad'_2,ДВФУ,Rh_sichotence,Приморский край,Дальнегорский район,корейская падь,,,,,19.07.1975,Кононова,"44,67038","135,669621"
,PK_Has_r_Aneba_1,БСИ,Rh_mucronulatum,приморский край,Хасанский район,река Амба 4-ый ручей,широколиственный лес,широколиственный лес,широколиственный лес,,27.06.2014,Пименова,"43,252333","131,717333"
,PK_kar_2,БСИ,Rh_sichotence,Приморский край,Дальнегорский район,два брата,берег,,,скалистый берег моря,00.00.2014,Кокшеева,"44,335033","135,836786"
,PK_kar_4,БСИ,Rh_sichotence,Приморский край,Дальнегорский район,два брата,берег,,,скалистый берег моря,00.00.2014,Кокшеева,"44,335033","135,836787"
,PK_KAV_perev_2,БСИ,Rh_mucronulatum,приморский край,Кавалеровский район,перевал,,,,,13.08.2014,Кокшеева,"44,285009","134,89472"
,PK_KAV_perev_3,БСИ,Rh_mucronulatum,приморский край,Кавалеровский район,перевал,,,,,13.08.2014,Кокшеева,"44,285009","134,894721"
,PK_KAV_perev_4,БСИ,Rh_mucronulatum,приморский край,Кавалеровский район,перевал,,,,,13.08.2014,Кокшеева,"44,285009","134,894722"
,PK_KAV_perev_5,БСИ,Rh_mucronulatum,приморский край,Кавалеровский район,перевал,,,,,13.08.2014,Кокшеева,"44,285009","134,894723"
,PK_KOV_1,БСИ,Rh_mucronulatum,приморский край,Кавалеровский район,перевал,,,,,13.08.2014,Кокшеева,"44,285009","134,894724"
,PK_KOV_2,БСИ,Rh_sichotence,Приморский край,Кавалеровский район,река Кавалеровка,,,,,00.00.2014,Кокшеева,"44,300747","135,054871"
,PK_KOV_3,БСИ,Rh_sichotence,Приморский край,Кавалеровский район,река Кавалеровка,,,,,00.00.2014,Кокшеева,"44,300747","135,054872"
,PK_KOV_6,БСИ,Rh_sichotence,Приморский край,Кавалеровский район,река Кавалеровка,,,,берег реки,00.00.2014,Кокшеева,"44,300747","135,054873"
,PK_KOV_7,БСИ,Rh_sichotence,Приморский край,Кавалеровский район,река Кавалеровка,,,,берег реки,00.00.2014,Кокшеева,"44,300747","135,054874"
,PK_KOV_8,БСИ,Rh_sichotence,Приморский край,Кавалеровский район,река Кавалеровка,,,,берег реки,00.00.2014,Кокшеева,"44,300747","135,054875"
12917,PK_LOZ_B_VALENTIN,ДВФУ,Rh_sichotence,Приморский край,Лазовский район,бух. Валентин,,,,,25.09.1965,Левченко,"43,120111","134,309778"
19983,PK_LOZ_c_KIEVKA,ДВФУ,Rh_mucronulatum,Приморский край,Лазовский район,с.Киевка,склон горы,,,скалистый берег моря,19.07.1977,Г.Палачена,"42,908083","133,703028"
,PK_LOZ_Lozo_zk_1,БСИ,Rh_mucronulatum,приморский край,Лазовский район,Лазовский заповедник,Морская терраса,,,скалистый берег моря,10.07.2014,Пименова,"43,039278","134,160917"
,PK_LOZ_Lozo_zk_3,БСИ,Rh_mucronulatum,приморский край,Лазовский район,Лазовский заповедник,Морская терраса,,,скалистый берег моря,10.07.2014,Пименова,"43,039278","134,160917"
,PK_LOZ_Lozo_zk_5,БСИ,Rh_mucronulatum,приморский край,Лазовский район,Лазовский заповедник,Морская терраса,,,скалистый берег моря,10.07.2014,Пименова,"43,039278","134,160917"
,PK_LOZ_Lozo_zk_6,БСИ,Rh_mucronulatum,приморский край,Лазовский район,Лазовский заповедник,Морская терраса,,,скалистый берег моря,10.07.2014,Пименова,"43,039278","134,160917"
,PK_LOZ_Lozo_zk_7,БСИ,Rh_mucronulatum,приморский край,Лазовский район,Лазовский заповедник,Морская терраса,,,скалистый берег моря,10.07.2014,Пименова,"43,039278","134,160917"
,PK_LOZ_per_Chyhynenko_1,БСИ,Rh_mucronulatum,приморский край,Лазовский район,перевал между пос. Заповедный и озером Чухуненко,Дубняк  ,широколиственный лес,дубняк,,17.07.2014,Дудкин,"42,830833","133,708889"
,PK_LOZ_per_Chyhynenko_2,БСИ,Rh_mucronulatum,приморский край,Лазовский район,перевал между пос. Заповедный и озером Чухуненко,Дубняк  ,широколиственный лес,дубняк,,17.07.2014,Дудкин,"42,830833","133,708889"
,PK_LOZ_per_Chyhynenko_3,БСИ,Rh_mucronulatum,приморский край,Лазовский район,перевал между пос. Заповедный и озером Чухуненко,Дубняк  ,широколиственный лес,дубняк,,17.07.2014,Дудкин,"42,830833","133,708889"
,PK_LOZ_per_Chyhynenko_4,БСИ,Rh_mucronulatum,приморский край,Лазовский район,перевал между пос. Заповедный и озером Чухуненко,Дубняк  ,широколиственный лес,дубняк,,17.07.2014,Дудкин,"42,830833","133,708889"
,PK_LOZ_per_Chyhynenko_5,БСИ,Rh_mucronulatum,приморский край,Лазовский район,перевал между пос. Заповедный и озером Чухуненко,Дубняк  ,широколиственный лес,дубняк,,17.07.2014,Дудкин,"42,830833","133,708889"
,PK_LOZ_per_Chyhynenko_6,БСИ,Rh_mucronulatum,приморский край,Лазовский район,перевал между пос. Заповедный и озером Чухуненко,Дубняк  ,широколиственный лес,дубняк,,17.07.2014,Дудкин,"42,830833","133,708889"
,PK_LOZ_per_Chyhynenko_7,БСИ,Rh_mucronulatum,приморский край,Лазовский район,перевал между пос. Заповедный и озером Чухуненко,Дубняк  ,широколиственный лес,дубняк,,17.07.2014,Дудкин,"42,830833","133,708889"
,PK_LOZ_per_Chyhynenko_8,БСИ,Rh_mucronulatum,приморский край,Лазовский район,перевал между пос. Заповедный и озером Чухуненко,Дубняк  ,широколиственный лес,дубняк,,17.07.2014,Дудкин,"42,830833","133,708889"
,PK_LOZ_per_Chyhynenko_9,БСИ,Rh_mucronulatum,приморский край,Лазовский район,перевал между пос. Заповедный и озером Чухуненко,Дубняк  ,широколиственный лес,дубняк,,17.07.2014,Дудкин,"42,830833","133,708889"
,PK_NAD_r_Nezinka_2,БСИ,Rh_mucronulatum,приморский край,Лазовский район,перевал между пос. Заповедный и озером Чухуненко,Дубняк  ,широколиственный лес,дубняк,,17.07.2014,Дудкин,"42,830833","133,708889"
12912,PK_OLG_1,ДВФУ,Rh_sichotence,Приморский край,Ольгинский район,окресность Ольги,"скалистый берег моря, дубово-лиственичный лес",широколиственный лес,дубняк,скалистый берег моря,20.08.1973,А.Крыловов,"43,742472","135,302889"
,PK_OLG_g_Cneznaya,БСИ,Rh_mucronulatum,приморский край,Ольгинский район,г. Снежая,гольцы,,,скальные выходы,15.09.2014,Верхолат,"43,737444","134,419917"
,PK_OLG_g_Cneznaya_3,БСИ,Rh_mucronulatum,приморский край,Ольгинский район,г. Снежая,гольцы,,,скальные выходы,15.09.2014,Верхолат,"43,737444","134,419917"
12913,PK_OLG_TAZOVA9,ДВФУ,Rh_sichotence,Приморский край,Ольгинский район,Тазовая сопка,кедрово-рододендровые заросли,светлохвойный лес,светлохвойный лес,,25.08.1973,А.Крыловов,"43,738111","135,132028"
,PK_PART_g_Ol'hovaya_3,БСИ,Rh_mucronulatum,приморский край,Партизанский район,"г. Ольховая ""Зов Тигра""",,,,скальные выходы,01.09.2014,Верхолат,"43,346972","133,659167"
,PK_per_Podn_1,БСИ,Rh_mucronulatum,приморский край,Тернейский район,перевал Небесный,каменые осыпи,,,скальные выходы,21.08.2014,Каменева/Богачев,"45,123167","135,826444"
,PK_per_Podn_3,БСИ,Rh_mucronulatum,приморский край,Тернейский район,перевал Небесный,каменые осыпи,,,скальные выходы,21.08.2014,Каменева/Богачев,"45,123167","135,826444"
,PK_per_Podn_4,БСИ,Rh_mucronulatum,приморский край,Тернейский район,перевал Небесный,каменые осыпи,,,скальные выходы,21.08.2014,Каменева/Богачев,"45,123167","135,826444"
12892,PK_SHK_g_Zmeina9,ДВФУ,Rh_mucronulatum,Приморский край,Шкотовский район,пос.Пейшула (Лесной Кордон),зап. Склон г. Змеинной,,,склон горы,,,"43,504621","132,466058"
12911,PK_TER_1,ДВФУ,Rh_sichotence,Приморский край,Тернейский район,,леспедецево-осоцково,кустарник,кустарник,,06.08.1963,Резанцева/Крылов,"45,056611","136,608389"
,PK_TER_1 (2),БСИ,Rh_sichotence,приморский край,тернейский район,перевал китовое ребро,,,,,00.00.2014,Кокшеева,"44,552889","136,153167"
,PK_TER_2,БСИ,Rh_sichotence,приморский край,тернейский район,перевал китовое ребро,,,,,00.00.2014,Кокшеева,"44,552889","136,153167"
,PK_TER_3,БСИ,Rh_sichotence,приморский край,тернейский район,перевал китовое ребро,,,,,00.00.2014,Кокшеева,"44,552889","136,153167"
,PK_TER_6,БСИ,Rh_sichotence,приморский край,тернейский район,перевал китовое ребро,,,,,00.00.2014,Кокшеева,"44,552889","136,153167"
,PK_TER_pos_Roshino_1,БСИ,Rh_mucronulatum,приморский край,тернейский район,поселок Рощино,,,,обочины/окресности нас.пунктов,,Дудкин,"45,910944","134,893611"
,PK_TER_pos_Roshino_2,БСИ,Rh_mucronulatum,приморский край,тернейский район,поселок Рощино,,,,обочины/окресности нас.пунктов,,Дудкин,"45,909722","134,889139"
,PK_Ter_r_Amgy_1,БСИ,Rh_mucronulatum,приморский край,тернейский район,"Река Амгу, левый берег",скалистый берег,,,скалистый берег реки,02.08.2014,Пименова,"45,848833","137,630472"
,PK_Ter_r_Amgy_2,БСИ,Rh_mucronulatum,приморский край,тернейский район,"Река Амгу, левый берег",скалистый берег,,,скалистый берег реки,02.08.2014,Пименова,"45,851194","137,624611"
,PK_Ter_r_Amgy_3,БСИ,Rh_mucronulatum,приморский край,тернейский район,"Река Амгу, левый берег",скалистый берег,,,скалистый берег реки,02.08.2014,Пименова,"45,858083","137,61875"
,PK_TER_r_Cerebryanka_1,БСИ,Rh_mucronulatum,приморский край,тернейский район,река Серебрянка,,,,берег реки,,Дудкин,"45,076194","136,605778"
,PK_TER_r_Cerebryanka_3,БСИ,Rh_mucronulatum,приморский край,тернейский район,река Серебрянка,,,,берег реки,,Дудкин,"45,038306","136,643944"
226305,popov_0_mucronulatum_05_08_1977,БПИ,Rh_mucronulatum,приморский край,о. Попова,о. Попова,,,,,05.08.1977,Селедец/Пробатова,"42,966389","131,730972"
11730,popova_0_mucronulatum_7_08_1992,БСИ,Rh_mucronulatum,приморский край,о. Попова,о. Попова,широколиственный лес,широколиственный лес,широколиственный лес,,07.08.1992,Недолужко,"42,960669","131,757338"
11759,popova_1_mucronulatum_19_08_1983,БСИ,Rh_mucronulatum,приморский край,о. Попова,о. Попова,каменистый берег моря,,,скалистый берег моря,19.08.1983,Недолужко,"42,948222","131,714165"
226078,pozhar_0_dauricum_12_08_1981,БПИ,Rh_dauricum,приморский край,пожарский район,"Верховье реки Бикин, г. Аник 1933м",скала,,,скальные выходы,12.08.1981,И.И.Б. Вышин,"47,255889","137,032111"
226079,pozhar_1_dauricum_12_08_1981,БПИ,Rh_dauricum,приморский край,пожарский район,бассейн р. Бикин г. Средняя,ю-в склон камен россыпь,,,каменистый склон,02.09.1983,Шибнева И.В.,"47,020833","137,020278"
226080,pozhar_2_dauricum_26_06_1981,БПИ,Rh_dauricum,приморский край,пожарский район,"Верхнее течение р. Ада, в устье р. Кю",,темнохвойный лес,темнохвойный лес,каменистый склон,26.06.1981,Вышин,"47,135773","137,377386"
226081,pozhar_3_dauricum_26_06_1981,БПИ,Rh_dauricum,приморский край,пожарский район,"Верхнее течение р. Ада, в устье р. Кю",,темнохвойный лес,темнохвойный лес,каменистый склон,27.06.1981,Вышин,"47,135773","137,377387"
226084,pozhar_7_dauricum_21_08_1980,БПИ,Rh_dauricum,приморский край,пожарский район,"р. Ада, верх течен левого притока р. Кю",ельник,темнохвойный лес,темнохвойный лес,каменистый склон,21.08.1980,И.Б. Вышин,"47,129611","137,441028"
226076,pozhar_8_dauricum_21_08_1981,БПИ,Rh_dauricum,приморский край,пожарский район,"р. Ада, верх течен левого притока р. Кю","ельник, по окраинам каменных осыпей",темнохвойный лес,темнохвойный лес,каменистый склон,21.08.1980,И.Б. Вышин,"47,141361","137,391583"
226273,pozhar_9_mucronulatum_16_08_1974,БПИ,Rh_mucronulatum,приморский край,пожарский район,р. Алчан,,,,,16.08.1976,Речан С.П.,"46,62875","134,547861"
226339,putyatin_0_mucronulatum_22_07_1987,БСИ,Rh_mucronulatum,приморский край,о. Путятин, о. Путятин 2-3км от поселка к северу,,,,обочины/окресности нас.пунктов,22.07.1987,Недолужко,"42,842417","132,401972"
226340,putyatin_1_mucronulatum_22_07_1987,БСИ,Rh_mucronulatum,приморский край,о. Путятин, о. Путятин,широкол лес ю-з берег оз. Гусиного,широколиственный лес,широколиственный лес,,22.07.1987,"Т.В. Клычкова, В.А. Недолужко В.Т. Центалович","42,864167","132,442"
226343,putyatin_2_mucronulatum_19_09_1976,БПИ,Rh_mucronulatum,приморский край,о. Путятин,о. Путятин на обрыве к озеру,,,,склон горы,19.09.1976,Куренцова,"42,864167","132,442"
11756,putyatin_2_mucronulatum_22_07_1987,БСИ,Rh_mucronulatum,приморский край,о. Путятин,западный берег оз. Гусинного,широколиственный лес,широколиственный лес,широколиственный лес,,22.07.1987,"Т.В. Клычкова, В.А. Недолужко В.Т. Центалович","42,864167","132,442"
11754,putyatin_3_mucronulatum_22_07_1987,БСИ,Rh_mucronulatum,приморский край,о. Путятин,западный берег оз. Гусинного,широколиственный лес,широколиственный лес,широколиственный лес,,22.07.1987,"Т.В. Клычкова, В.А. Недолужко В.Т. Центалович","42,864167","132,442"
11753,putyatin_4_mucronulatum_22_07_1987,БСИ,Rh_mucronulatum,приморский край,о. Путятин,западный берег оз. Гусинного,широколиственный лес,широколиственный лес,широколиственный лес,,22.07.1987,"Т.В. Клычкова, В.А. Недолужко В.Т. Центалович","42,864167","132,442"
226265,reinike_0_mucronulatum_09_07_1978,БПИ,Rh_mucronulatum,приморский край,о. Рейнеке,о-в Рейнеке,скалы близ кладбища,,,скальные выходы,09.07.1978,В. Селедец,"42,91675","131,735028"
226281,reinike_1_mucronulatum_08_08_1974,БПИ,Rh_mucronulatum,приморский край,о. Рейнеке,остров Рейнеке,на скалах в центральной части острова,,,скальные выходы,08.08.1974,Н. Пробатова,"42,916778","131,720306"
11728,rikord_1_mucronulatum_00_08_1996,БСИ,Rh_mucronulatum,приморский край,о. Рикорда,,,,,,00.08.1996,Недолужко,"42,882842","131,679142"
11774,russky_0_mucronulatum_17_07_1998,БСИ,Rh_mucronulatum,приморский край,о. Русский,о. Елены,,,,,17.07.1998,Недолужко,"43,066659","131,825441"
226304,russky_0_mucronulatum_28_09_1977,БПИ,Rh_mucronulatum,приморский край,о. Русский,О-в Русский,,,,,23.09.1977,Пробатова/ Рудика,"43,053722","131,871306"
11788,russky_2_mucronulatum_17_07_1998,БСИ,Rh_mucronulatum,приморский край,о. Русский,о. Елены,,,,,17.07.1998,Недолужко,"43,066659","131,825441"
226179,seledz_0_dauricum_00_00_0000,БПИ,Rh_dauricum,Амурская область,Селемджтнский район,25км дороги Норск - Бисса,,,,обочины/окресности нас.пунктов,18.06.1988,Старченко,"52,335806","129,914306"
226180,seledz_1_dauricum_07_08_1976,БПИ,Rh_dauricum,Амурская область,Селемджтнский район,34км от дороги на Стойбу от Семмджинска,лиственничник,широколиственный лес,лиственичник,обочины/окресности нас.пунктов,07.08.1976,"Клычкова, Т. Безделева","52,8","131,7"
226389,seledz_4_mucronulatum_13_07_1976,БПИ,Rh_mucronulatum,Амурская область,селимджинский район,п. Февральский,березняк,широколиственный лес,березняк,,13.07.1976,"Клычкова, Нестерова","52,449694","130,902556"
226378,seledz_5_mucronulatum_13_07_1976,БПИ,Rh_mucronulatum,Амурская область,селимджинский район,п. Февральский,березняк,широколиственный лес,березняк,,13.07.1976,"Клычкова, Нестерова","52,449694","130,902556"
226381,seledz_6_mucronulatum_08_07_1984,БПИ,Rh_mucronulatum,Амурская область,Селеморисинский район,п. Экимчан правый берег р. 4км выше поселка,,,,берег реки,08.07.1984,В.В. Якубов,"53,080667","133,003167"
226382,selendz_0_mucronulatum_12_07_1976,БПИ,Rh_mucronulatum,Амурская область,селимджинский район,3км от пос. Февральск,поймеый лес на левом берегу р. Бысы,,,берег реки,12.07.1976,"Клычкова, Нестерова","52,442889","130,914472"
226384,selendz_2_mucronulatum_14_08_1977,БПИ,Rh_mucronulatum,Амурская область,селимджинский район,3 км на ю-з от Селемдж-а,березняк,широколиственный лес,березняк,,14.08.1977,"Клычкова, Нестерова","52,574222","131,121139"
226385,selendz_3_mucronulatum_24_07_1971,БПИ,Rh_mucronulatum,Амурская область,селимджинский район,лесхоз  Экимчанский юж склон р. Сугора,,,,склон горы,24.07.1967,Ю. Зубов,"53,069222","132,938778"
226386,selendz_4_mucronulatum_07_08_1976,БПИ,Rh_mucronulatum,Амурская область,селимджинский район,34 км от дороги Селемджинск-Стойба,лиственичник,широколиственный лес,лиственичник,,07.08.1976,Клычкова/Безделева,"52,616917","131,192194"
,shkot_0_mucronulatum_06_09_1969,ГБС,Rh_mucronulatum,приморский край,Шкотовский район,г. Хуалаза,,,,скальные выходы,06.09.1969,Плотникова Л. С. ,"43,114333","132,791402"
